fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,google.com,172.217.166.206,2404:6800:4002:805::200e,aspmx.l.google.com,ns1.google.com,,,,
Addition,googlea.com,184.168.131.241,,smtp.secureserver.net,ns17.domaincontrol.com,,,,
Addition,googleb.com,47.254.33.193,,,ns3.dns.com,,,,
Addition,googlec.com,58.76.184.4,,,ns1.doregi.com,,,,
Addition,googled.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Addition,googlee.com,172.217.166.228,2404:6800:4002:80a::2004,,ns1.google.com,,,,
Addition,googlef.com,,,,ns1.googledomains.com,,,,
Addition,googleg.com,107.161.23.204,,mail.b-io.co,ns1.dnsowl.com,,,,
Addition,googleh.com,103.224.182.241,,park-mx.above.com,ns1.above.com,,,,
Addition,googlei.com,192.190.80.121,,googlei.com,ns1.vpshostinglist.com,,,,
Addition,googlej.com,54.235.212.68,,mail.googlej.com,ns1.pql.net,,,,
Addition,googlek.com,127.0.0.1,,localhost,ns1.sedoparking.com,,,,
Addition,googlel.com,,,,ns1.googledomains.com,,,,
Addition,googlem.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Addition,googlen.com,172.98.192.37,,,ns1.rentondc.com,,,,
Addition,googleo.com,95.211.219.66,,,ns1.hastydns.com,,,,
Addition,googlep.com,54.235.212.68,,mail.googlep.com,ns1.pql.net,,,,
Addition,googleq.com,185.53.178.24,,mail.h-email.net,ns1.parkingcrew.net,,,,
Addition,googler.com,,,,ns1.googledomains.com,,,,
Addition,googles.com,23.229.234.162,,,ns21.domaincontrol.com,,,,
Addition,googlet.com,192.155.108.148,,,ns1.redmonddc.com,,,,
Addition,googleu.com,54.221.207.100,,mx94.mb1p.com,ns3.domainmanager.com,,,,
Addition,googlev.com,,,,ns1.googledomains.com,,,,
Addition,googlew.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Addition,googlex.com,,,,ns1.googledomains.com,,,,
Addition,googley.com,85.233.160.22,,fwd0.hosts.co.uk,ns0.phase8.net,,,,
Addition,googlez.com,,,,,,,,
Bitsquatting,foogle.com,64.111.126.107,,aspmx.l.google.com,ns1.dreamhost.com,,,,
Bitsquatting,eoogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,coogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,ooogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,woogle.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Bitsquatting,gnogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gmogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gkogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,ggogle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gongle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gomgle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gokgle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,goggle.com,54.221.207.100,,exchange.dewile.net,ns3.domainmanager.com,,,,
Bitsquatting,goofle.com,192.185.39.34,,mail.goofle.com,ns8197.hostgator.com,,,,
Bitsquatting,gooele.com,,,,ns1.googledomains.com,,,,
Bitsquatting,goocle.com,,,,ns1.googledomains.com,,,,
Bitsquatting,gooole.com,98.124.199.61,,,dns1.name-services.com,,,,
Bitsquatting,goowle.com,185.53.179.6,,mail.h-email.net,ns1.parkingcrew.net,,,,
Bitsquatting,googme.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Bitsquatting,googne.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googhe.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Bitsquatting,googde.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googld.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googlg.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googla.com,,,,ns1.googledomains.com,,,,
Bitsquatting,googlm.com,23.225.212.221,,,f1g1ns1.dnspod.net,,,,
Bitsquatting,googlu.com,,,,ns1.googledomains.com,,,,
Homoglyph,qooqle.com,95.211.219.65,,,ns1.hastydns.com,,,,
Homoglyph,goog1e.com,,,,ns1.googledomains.com,,,,
Homoglyph,qoogle.com,,,,ns1.google.com,,,,
Homoglyph,g00gle.com,,,,ns1.googledomains.com,,,,
Homoglyph,go0gle.com,,,,ns1.googledomains.com,,,,
Homoglyph,googie.com,209.17.116.2,,inbound.registeredsite.com,ns23.worldnic.com,,,,
Homoglyph,gooqle.com,72.52.178.23,,mx156.hostedmxserver.com,ns1.parklogic.com,,,,
Homoglyph,g0ogle.com,98.124.199.83,,,dns1.name-services.com,,,,
