fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,humnfirewall.io,,,,,,,,
Addition,humnfirewalla.io,,,,,,,,
Addition,humnfirewallb.io,,,,,,,,
Addition,humnfirewallc.io,,,,,,,,
Addition,humnfirewalld.io,,,,,,,,
Addition,humnfirewalle.io,,,,,,,,
Addition,humnfirewallf.io,,,,,,,,
Addition,humnfirewallg.io,,,,,,,,
Addition,humnfirewallh.io,,,,,,,,
Addition,humnfirewalli.io,,,,,,,,
Addition,humnfirewallj.io,,,,,,,,
Addition,humnfirewallk.io,,,,,,,,
Addition,humnfirewalll.io,,,,,,,,
Addition,humnfirewallm.io,,,,,,,,
Addition,humnfirewalln.io,,,,,,,,
Addition,humnfirewallo.io,,,,,,,,
Addition,humnfirewallp.io,,,,,,,,
Addition,humnfirewallq.io,,,,,,,,
Addition,humnfirewallr.io,,,,,,,,
Addition,humnfirewalls.io,,,,,,,,
Addition,humnfirewallt.io,,,,,,,,
Addition,humnfirewallu.io,,,,,,,,
Addition,humnfirewallv.io,,,,,,,,
Addition,humnfirewallw.io,,,,,,,,
Addition,humnfirewallx.io,,,,,,,,
Addition,humnfirewally.io,,,,,,,,
Addition,humnfirewallz.io,,,,,,,,
Bitsquatting,iumnfirewall.io,,,,,,,,
Bitsquatting,jumnfirewall.io,,,,,,,,
Bitsquatting,lumnfirewall.io,,,,,,,,
Bitsquatting,xumnfirewall.io,,,,,,,,
Bitsquatting,htmnfirewall.io,,,,,,,,
Bitsquatting,hwmnfirewall.io,,,,,,,,
Bitsquatting,hqmnfirewall.io,,,,,,,,
Bitsquatting,hemnfirewall.io,,,,,,,,
Bitsquatting,h5mnfirewall.io,,,,,,,,
Bitsquatting,hulnfirewall.io,,,,,,,,
Bitsquatting,huonfirewall.io,,,,,,,,
Bitsquatting,huinfirewall.io,,,,,,,,
Bitsquatting,huenfirewall.io,,,,,,,,
Bitsquatting,hu-nfirewall.io,,,,,,,,
Bitsquatting,humofirewall.io,,,,,,,,
Bitsquatting,humlfirewall.io,,,,,,,,
Bitsquatting,humjfirewall.io,,,,,,,,
Bitsquatting,humffirewall.io,,,,,,,,
Bitsquatting,humngirewall.io,,,,,,,,
Bitsquatting,humndirewall.io,,,,,,,,
Bitsquatting,humnbirewall.io,,,,,,,,
Bitsquatting,humnnirewall.io,,,,,,,,
Bitsquatting,humnvirewall.io,,,,,,,,
Bitsquatting,humnfhrewall.io,,,,,,,,
Bitsquatting,humnfkrewall.io,,,,,,,,
Bitsquatting,humnfmrewall.io,,,,,,,,
Bitsquatting,humnfarewall.io,,,,,,,,
Bitsquatting,humnfyrewall.io,,,,,,,,
Bitsquatting,humnfisewall.io,,,,,,,,
Bitsquatting,humnfipewall.io,,,,,,,,
Bitsquatting,humnfivewall.io,,,,,,,,
Bitsquatting,humnfizewall.io,,,,,,,,
Bitsquatting,humnfibewall.io,,,,,,,,
Bitsquatting,humnfi2ewall.io,,,,,,,,
Bitsquatting,humnfirdwall.io,,,,,,,,
Bitsquatting,humnfirgwall.io,,,,,,,,
Bitsquatting,humnfirawall.io,,,,,,,,
Bitsquatting,humnfirmwall.io,,,,,,,,
Bitsquatting,humnfiruwall.io,,,,,,,,
Bitsquatting,humnfirevall.io,,,,,,,,
Bitsquatting,humnfireuall.io,,,,,,,,
Bitsquatting,humnfiresall.io,,,,,,,,
Bitsquatting,humnfiregall.io,,,,,,,,
Bitsquatting,humnfire7all.io,,,,,,,,
Bitsquatting,humnfirewcll.io,,,,,,,,
Bitsquatting,humnfirewell.io,,,,,,,,
Bitsquatting,humnfirewill.io,,,,,,,,
Bitsquatting,humnfirewqll.io,,,,,,,,
Bitsquatting,humnfirewaml.io,,,,,,,,
Bitsquatting,humnfirewanl.io,,,,,,,,
Bitsquatting,humnfirewahl.io,,,,,,,,
Bitsquatting,humnfirewadl.io,,,,,,,,
Bitsquatting,humnfirewalm.io,,,,,,,,
Bitsquatting,humnfirewaln.io,,,,,,,,
Bitsquatting,humnfirewalh.io,,,,,,,,
Bitsquatting,humnfirewald.io,,,,,,,,
Homoglyph,humnf1rewall.io,,,,,,,,
Homoglyph,hurnnfirewall.io,,,,,,,,
Homoglyph,humnfirevvall.io,,,,,,,,
