fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,mobiwik.com,162.210.199.85,,mail.h-email.net,ns1.quokkadns.com,,,,
Addition,mobiwika.com,,,,,,,,
Addition,mobiwikb.com,,,,,,,,
Addition,mobiwikc.com,,,,,,,,
Addition,mobiwikd.com,,,,,,,,
Addition,mobiwike.com,,,,,,,,
Addition,mobiwikf.com,,,,,,,,
Addition,mobiwikg.com,,,,,,,,
Addition,mobiwikh.com,,,,,,,,
Addition,mobiwiki.com,93.191.169.211,,mail.nickstel.com,cns3.sedoparking.com,,,,
Addition,mobiwikj.com,,,,,,,,
Addition,mobiwikk.com,,,,,,,,
Addition,mobiwikl.com,,,,,,,,
Addition,mobiwikm.com,,,,,,,,
Addition,mobiwikn.com,,,,,,,,
Addition,mobiwiko.com,,,,,,,,
Addition,mobiwikp.com,,,,,,,,
Addition,mobiwikq.com,,,,,,,,
Addition,mobiwikr.com,,,,,,,,
Addition,mobiwiks.com,,,,,,,,
Addition,mobiwikt.com,,,,,,,,
Addition,mobiwiku.com,,,,,,,,
Addition,mobiwikv.com,,,,,,,,
Addition,mobiwikw.com,,,,,,,,
Addition,mobiwikx.com,,,,,,,,
Addition,mobiwiky.com,,,,,,,,
Addition,mobiwikz.com,,,,,,,,
Bitsquatting,lobiwik.com,,,,,,,,
Bitsquatting,oobiwik.com,,,,,,,,
Bitsquatting,iobiwik.com,,,,,,,,
Bitsquatting,eobiwik.com,,,,,,,,
Bitsquatting,mnbiwik.com,,,,,,,,
Bitsquatting,mmbiwik.com,,,,,,,,
Bitsquatting,mkbiwik.com,,,,,,,,
Bitsquatting,mgbiwik.com,,,,,,,,
Bitsquatting,mociwik.com,,,,,,,,
Bitsquatting,mofiwik.com,,,,,,,,
Bitsquatting,mojiwik.com,,,,,,,,
Bitsquatting,moriwik.com,,,,,,,,
Bitsquatting,mobhwik.com,,,,,,,,
Bitsquatting,mobkwik.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Bitsquatting,mobmwik.com,,,,,,,,
Bitsquatting,mobawik.com,,,,,,,,
Bitsquatting,mobywik.com,,,,,,,,
Bitsquatting,mobivik.com,68.178.213.61,,,ns1.namefind.com,,,,
Bitsquatting,mobiuik.com,,,,,,,,
Bitsquatting,mobisik.com,,,,,,,,
Bitsquatting,mobigik.com,,,,,,,,
Bitsquatting,mobi7ik.com,,,,,,,,
Bitsquatting,mobiwhk.com,,,,,,,,
Bitsquatting,mobiwkk.com,,,,,,,,
Bitsquatting,mobiwmk.com,,,,,,,,
Bitsquatting,mobiwak.com,,,,ns-1977.awsdns-55.co.uk,,,,
Bitsquatting,mobiwyk.com,,,,,,,,
Bitsquatting,mobiwij.com,,,,,,,,
Bitsquatting,mobiwii.com,,,,,,,,
Bitsquatting,mobiwio.com,,,,,,,,
Bitsquatting,mobiwic.com,109.73.231.50,,mx10.mailspamprotection.com,ns1.us199.siteground.us,,,,
Homoglyph,nnobiwik.com,,,,,,,,
Homoglyph,mob1wik.com,,,,,,,,
Homoglyph,modiwik.com,,,,,,,,
Homoglyph,m0biwik.com,,,,,,,,
Homoglyph,mobivvik.com,,,,,,,,
Homoglyph,rnobiwik.com,,,,,,,,
Homoglyph,mobiwiik.com,,,,,,,,
Homoglyph,nobiwik.com,,,,,,,,
Homoglyph,mobiwilk.com,,,,,,,,
Homoglyph,mobiwilc.com,,,,,,,,
Homoglyph,moblwik.com,,,,,,,,
Homoglyph,molbiwik.com,,,,,,,,
Homoglyph,mobiw1k.com,,,,,,,,
Homoglyph,moibiwik.com,,,,,,,,
Homoglyph,moblwlk.com,,,,,,,,
Homoglyph,mob1w1k.com,,,,,,,,
Homoglyph,rrobiwik.com,,,,,,,,
Homoglyph,mobiwlk.com,,,,,,,,
Hyphenation,m-obiwik.com,,,,,,,,
Hyphenation,mo-biwik.com,,,,,,,,
Hyphenation,mob-iwik.com,,,,,,,,
Hyphenation,mobi-wik.com,,,,,,,,
Hyphenation,mobiw-ik.com,,,,,,,,
Hyphenation,mobiwi-k.com,,,,,,,,
Insertion,mokbiwik.com,,,,,,,,
Insertion,mobi9wik.com,,,,,,,,
Insertion,mobiqwik.com,103.224.182.253,,park-mx.above.com,ns1.above.com,,,,
Insertion,mobiw8ik.com,,,,,,,,
Insertion,mobiwkik.com,,,,,,,,
Insertion,mpobiwik.com,,,,,,,,
