fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,openbb.org,,,,,,,,
Addition,openbba.org,,,,,,,,
Addition,openbbb.org,,,,,,,,
Addition,openbbc.org,192.0.2.1,,openbbc-org.mail.protection.outlook.com,ns1.cloud.savvisdirect.com,,,,
Addition,openbbd.org,,,,,,,,
Addition,openbbe.org,,,,,,,,
Addition,openbbf.org,,,,,,,,
Addition,openbbg.org,,,,,,,,
Addition,openbbh.org,,,,,,,,
Addition,openbbi.org,,,,,,,,
Addition,openbbj.org,,,,,,,,
Addition,openbbk.org,,,,,,,,
Addition,openbbl.org,,,,,,,,
Addition,openbbm.org,,,,,,,,
Addition,openbbn.org,,,,,,,,
Addition,openbbo.org,,,,,,,,
Addition,openbbp.org,,,,,,,,
Addition,openbbq.org,,,,,,,,
Addition,openbbr.org,,,,,,,,
Addition,openbbs.org,156.232.111.172,,,ns5.dnsdun.com,,,,
Addition,openbbt.org,,,,,,,,
Addition,openbbu.org,,,,,,,,
Addition,openbbv.org,,,,,,,,
Addition,openbbw.org,,,,,,,,
Addition,openbbx.org,,,,,,,,
Addition,openbby.org,,,,,,,,
Addition,openbbz.org,,,,,,,,
Bitsquatting,npenbb.org,,,,,,,,
Bitsquatting,mpenbb.org,,,,,,,,
Bitsquatting,kpenbb.org,,,,,,,,
Bitsquatting,gpenbb.org,,,,,,,,
Bitsquatting,oqenbb.org,,,,,,,,
Bitsquatting,orenbb.org,,,,,,,,
Bitsquatting,otenbb.org,,,,,,,,
Bitsquatting,oxenbb.org,,,,,,,,
Bitsquatting,o0enbb.org,,,,,,,,
Bitsquatting,opdnbb.org,,,,,,,,
Bitsquatting,opgnbb.org,,,,,,,,
Bitsquatting,opanbb.org,,,,,,,,
Bitsquatting,opmnbb.org,,,,,,,,
Bitsquatting,opunbb.org,,,,,,,,
Bitsquatting,opeobb.org,,,,,,,,
Bitsquatting,opelbb.org,,,,,,,,
Bitsquatting,opejbb.org,,,,,,,,
Bitsquatting,opefbb.org,,,,,,,,
Bitsquatting,opencb.org,160.153.18.112,,mail.opencb.org,ns75.domaincontrol.com,,,,
Bitsquatting,openfb.org,,,,,,,,
Bitsquatting,openjb.org,,,,,,,,
Bitsquatting,openrb.org,,,,,,,,
Bitsquatting,openbc.org,,,,,,,,
Bitsquatting,openbf.org,,,,,,,,
Bitsquatting,openbj.org,,,,,,,,
Bitsquatting,openbr.org,,,,,,,,
Homoglyph,opembb.org,,,,,,,,
Homoglyph,openlbb.org,,,,,,,,
Homoglyph,openbd.org,,,,,,,,
Homoglyph,openblb.org,,,,,,,,
Homoglyph,0penbb.org,,,,,,,,
Homoglyph,opendd.org,192.0.2.1,2001:4860:4802:32::15,,ns-cloud-c1.googledomains.com,,,,
Homoglyph,opendb.org,,,,,,,,
Homoglyph,openlblb.org,,,,,,,,
Homoglyph,openibb.org,,,,,,,,
Homoglyph,openbib.org,192.0.2.1,2a03:4000:30:4472::11:7602,mail.openbib.org,root-dns.netcup.net,,,,
Homoglyph,openibib.org,,,,,,,,
Homoglyph,operbb.org,,,,,,,,
Hyphenation,o-penbb.org,,,,,,,,
Hyphenation,op-enbb.org,,,,,,,,
Hyphenation,ope-nbb.org,,,,,,,,
Hyphenation,open-bb.org,,,,,,,,
Hyphenation,openb-b.org,,,,,,,,
