fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,google.com,216.58.221.46,2404:6800:4002:807::200e,aspmx.l.google.com,ns1.google.com,,,,
Addition,googlea.com,184.168.131.241,,smtp.secureserver.net,ns17.domaincontrol.com,,,,
Addition,googleb.com,47.254.33.193,,,ns3.dns.com,,,,
Addition,googlec.com,58.76.184.4,,,ns1.doregi.com,,,,
Addition,googled.com,,,,,,,,
Addition,googlee.com,,,,,,,,
Addition,googlef.com,,,,,,,,
Addition,googleg.com,107.161.23.204,,mail.b-io.co,ns1.dnsowl.com,,,,
Addition,googleh.com,103.224.182.241,,park-mx.above.com,ns2.above.com,,,,
Addition,googlei.com,,,,,,,,
Addition,googlej.com,54.235.212.68,,mail.googlej.com,ns1.pql.net,,,,
Addition,googlek.com,127.0.0.1,,localhost,ns1.sedoparking.com,,,,
Addition,googlel.com,,,,ns1.googledomains.com,,,,
Addition,googlem.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Addition,googlen.com,172.98.192.35,,,ns1.rentondc.com,,,,
Addition,googleo.com,95.211.219.66,,,ns1.hastydns.com,,,,
Addition,googlep.com,54.235.212.68,,mail.googlep.com,ns1.pql.net,,,,
Addition,googleq.com,185.53.178.24,,mail.h-email.net,ns1.parkingcrew.net,,,,
Addition,googler.com,,,,ns1.googledomains.com,,,,
Addition,googles.com,23.229.234.162,,,ns21.domaincontrol.com,,,,
Addition,googlet.com,192.155.108.154,,,ns1.redmonddc.com,,,,
Addition,googleu.com,54.221.207.100,,mx94.mb1p.com,ns3.domainmanager.com,,,,
Addition,googlev.com,,,,ns1.googledomains.com,,,,
Addition,googlew.com,107.161.23.204,,,ns1.dnsowl.com,,,,
Addition,googlex.com,,,,ns1.googledomains.com,,,,
Addition,googley.com,85.233.160.22,,fwd0.hosts.co.uk,ns0.phase8.net,,,,
Addition,googlez.com,,,,,,,,
Bitsquatting,foogle.com,64.111.126.107,,aspmx.l.google.com,ns1.dreamhost.com,,,,
