fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,swiggy.in,54.255.194.219,,cluster1.us.messagelabs.com,ns-1537.awsdns-00.co.uk,,,,
Addition,swiggya.in,,,,,,,,
Addition,swiggyb.in,,,,,,,,
Addition,swiggyc.in,,,,,,,,
Addition,swiggyd.in,,,,,,,,
Addition,swiggye.in,,,,,,,,
Addition,swiggyf.in,,,,,,,,
Addition,swiggyg.in,,,,,,,,
Addition,swiggyh.in,,,,,,,,
Addition,swiggyi.in,,,,,,,,
Addition,swiggyj.in,,,,,,,,
Addition,swiggyk.in,,,,,,,,
Addition,swiggyl.in,,,,,,,,
Addition,swiggym.in,,,,,,,,
Addition,swiggyn.in,,,,,,,,
Addition,swiggyo.in,,,,,,,,
Addition,swiggyp.in,,,,,,,,
Addition,swiggyq.in,,,,,,,,
Addition,swiggyr.in,,,,,,,,
Addition,swiggys.in,,,,,,,,
Addition,swiggyt.in,,,,,,,,
Addition,swiggyu.in,,,,,,,,
Addition,swiggyv.in,,,,,,,,
Addition,swiggyw.in,,,,,,,,
Addition,swiggyx.in,,,,,,,,
Addition,swiggyy.in,,,,,,,,
Addition,swiggyz.in,,,,,,,,
Bitsquatting,rwiggy.in,,,,,,,,
Bitsquatting,qwiggy.in,,,,,,,,
Bitsquatting,wwiggy.in,,,,,,,,
Bitsquatting,cwiggy.in,,,,,,,,
Bitsquatting,3wiggy.in,,,,,,,,
Bitsquatting,sviggy.in,,,,,,,,
Bitsquatting,suiggy.in,,,,,,,,
Bitsquatting,ssiggy.in,,,,,,,,
Bitsquatting,sgiggy.in,,,,,,,,
Bitsquatting,s7iggy.in,,,,,,,,
Bitsquatting,swhggy.in,,,,,,,,
Bitsquatting,swkggy.in,,,,,,,,
Bitsquatting,swmggy.in,,,,,,,,
Bitsquatting,swaggy.in,23.227.38.32,,,ns41.domaincontrol.com,,,,
Bitsquatting,swyggy.in,,,,,,,,
Bitsquatting,swifgy.in,,,,,,,,
Bitsquatting,swiegy.in,,,,,,,,
Bitsquatting,swicgy.in,,,,,,,,
