fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,www.metlife.com,,,,,,,,
Addition,www.metlifea.com,,,,,,,,
Addition,www.metlifeb.com,,,,,,,,
Addition,www.metlifec.com,,,,,,,,
Addition,www.metlifed.com,,,,,,,,
Addition,www.metlifee.com,,,,,,,,
Addition,www.metlifef.com,,,,,,,,
Addition,www.metlifeg.com,,,,,,,,
Addition,www.metlifeh.com,,,,,,,,
Addition,www.metlifei.com,,,,,,,,
Addition,www.metlifej.com,,,,,,,,
Addition,www.metlifek.com,,,,,,,,
Addition,www.metlifel.com,,,,,,,,
Addition,www.metlifem.com,,,,,,,,
Addition,www.metlifen.com,,,,,,,,
Addition,www.metlifeo.com,,,,,,,,
Addition,www.metlifep.com,,,,,,,,
Addition,www.metlifeq.com,,,,,,,,
Addition,www.metlifer.com,,,,,,,,
Addition,www.metlifes.com,,,,,,,,
Addition,www.metlifet.com,,,,,,,,
Addition,www.metlifeu.com,,,,,,,,
Addition,www.metlifev.com,,,,,,,,
Addition,www.metlifew.com,,,,,,,,
Addition,www.metlifex.com,,,,,,,,
Addition,www.metlifey.com,,,,,,,,
Addition,www.metlifez.com,,,,,,,,
Bitsquatting,vww.metlife.com,,,,,,,,
Bitsquatting,uww.metlife.com,,,,,,,,
Bitsquatting,sww.metlife.com,,,,,,,,
Bitsquatting,gww.metlife.com,,,,,,,,
Bitsquatting,7ww.metlife.com,,,,,,,,
Bitsquatting,wvw.metlife.com,,,,,,,,
Bitsquatting,wuw.metlife.com,,,,,,,,
Bitsquatting,wsw.metlife.com,,,,,,,,
Bitsquatting,wgw.metlife.com,,,,,,,,
Bitsquatting,w7w.metlife.com,,,,,,,,
Bitsquatting,wwv.metlife.com,,,,,,,,
Bitsquatting,wwu.metlife.com,,,,,,,,
Bitsquatting,wws.metlife.com,,,,,,,,
Bitsquatting,wwg.metlife.com,,,,,,,,
Bitsquatting,ww7.metlife.com,,,,,,,,
Bitsquatting,wwwnmetlife.com,,,,,,,,
