fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,www.youtube.com,,,,,,,,
Addition,www.youtubea.com,103.224.182.251,,park-mx.above.com,ns1.above.com,,,,
Addition,www.youtubeb.com,185.53.178.7,,mail.h-email.net,ns1.parkingcrew.net,,,,
Addition,www.youtubec.com,,,,,,,,
Addition,www.youtubed.com,,,,,,,,
Addition,www.youtubee.com,,,,,,,,
Addition,www.youtubef.com,72.52.179.174,,,ns1.parklogic.com,,,,
Addition,www.youtubeg.com,,,,,,,,
Addition,www.youtubeh.com,,,,,,,,
Addition,www.youtubei.com,,,,,,,,
Addition,www.youtubej.com,185.53.178.6,,mail.h-email.net,ns1.parkingcrew.net,,,,
Addition,www.youtubek.com,34.196.13.28,,,ns1.pql.net,,,,
Addition,www.youtubel.com,104.219.168.162,,,ns1.hasns.com,,,,
Addition,www.youtubem.com,54.235.212.68,,mail.youtubem.com,ns1.pql.net,,,,
Addition,www.youtuben.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Addition,www.youtubeo.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Addition,www.youtubep.com,54.235.212.68,,mail.youtubep.com,ns1.pql.net,,,,
Addition,www.youtubeq.com,,,,,,,,
Addition,www.youtuber.com,,,,,,,,
Addition,www.youtubes.com,,,,,,,,
Addition,www.youtubet.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Addition,www.youtubeu.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Addition,www.youtubev.com,,,,,,,,
Addition,www.youtubew.com,,,,,,,,
Addition,www.youtubex.com,,,,,,,,
Addition,www.youtubey.com,103.224.182.251,,park-mx.above.com,ns1.above.com,,,,
Addition,www.youtubez.com,,,,,,,,
Bitsquatting,vww.youtube.com,,,,,,,,
Bitsquatting,uww.youtube.com,,,,,,,,
Bitsquatting,sww.youtube.com,,,,,,,,
Bitsquatting,gww.youtube.com,,,,,,,,
Bitsquatting,7ww.youtube.com,,,,,,,,
Bitsquatting,wvw.youtube.com,,,,,,,,
Bitsquatting,wuw.youtube.com,,,,,,,,
Bitsquatting,wsw.youtube.com,,,,,,,,
Bitsquatting,wgw.youtube.com,,,,,,,,
Bitsquatting,w7w.youtube.com,,,,,,,,
Bitsquatting,wwv.youtube.com,,,,,,,,
Bitsquatting,wwu.youtube.com,,,,,,,,
Bitsquatting,wws.youtube.com,,,,,,,,
Bitsquatting,wwg.youtube.com,,,,,,,,
Bitsquatting,ww7.youtube.com,,,,,,,,
Bitsquatting,wwwnyoutube.com,103.224.212.253,,park-mx.above.com,ns4.above.com,,,,
Bitsquatting,www.xoutube.com,,,,,,,,
Bitsquatting,www.qoutube.com,68.66.216.40,,qoutube.com,ns1.a2hosting.com,,,,
Bitsquatting,www.ioutube.com,34.196.13.28,,,ns1.pql.net,,,,
Bitsquatting,www.9outube.com,52.216.102.74,,,ns-1919.awsdns-47.co.uk,,,,
Bitsquatting,www.ynutube.com,,,,,,,,
Bitsquatting,www.ymutube.com,185.53.177.31,,,ns3.protectdelegation.eu,,,,
Bitsquatting,www.ykutube.com,103.224.182.207,,park-mx.above.com,ns2.above.com,,,,
Bitsquatting,www.ygutube.com,104.198.18.33,,,ns1.rewirethe.net,,,,
Bitsquatting,www.yottube.com,192.184.12.62,,park-mx.above.com,ns1.above.com,,,,
Bitsquatting,www.yowtube.com,,,,,,,,
Bitsquatting,www.yoqtube.com,,,,,,,,
Bitsquatting,www.yoetube.com,,,,,,,,
Bitsquatting,www.yo5tube.com,,,,,,,,
Bitsquatting,www.youuube.com,,,,,,,,
Bitsquatting,www.youvube.com,,,,,,,,
Bitsquatting,www.youpube.com,185.53.178.22,,,ns1.parkingcrew.net,,,,
Bitsquatting,www.youdube.com,91.195.240.240,,localhost,ns1.sedoparking.com,,,,
Bitsquatting,www.you4ube.com,,,,,,,,
Bitsquatting,www.youttbe.com,,,,,,,,
Bitsquatting,www.youtwbe.com,185.53.178.6,,mail.h-email.net,ns1.parkingcrew.net,,,,
Bitsquatting,www.youtqbe.com,,,,,,,,
Bitsquatting,www.youtebe.com,,,,,,,,
Bitsquatting,www.yout5be.com,,,,,,,,
Bitsquatting,www.youtuce.com,,,,,,,,
Bitsquatting,www.youtufe.com,,,,,,,,
Bitsquatting,www.youtuje.com,104.198.18.33,,,ns1.rewirethe.net,,,,
Bitsquatting,www.youture.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Bitsquatting,www.youtubd.com,69.16.230.42,,mx156.hostedmxserver.com,ns1.parklogic.com,,,,
Bitsquatting,www.youtubg.com,,,,,,,,
Bitsquatting,www.youtuba.com,,,,,,,,
Bitsquatting,www.youtubm.com,,,,,,,,
