fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Original*,youtube.com,172.217.166.206,2404:6800:4002:808::200e,aspmx.l.google.com,ns1.google.com,,,,
Addition,youtubea.com,103.224.182.251,,park-mx.above.com,ns2.above.com,,,,
Addition,youtubeb.com,185.53.178.7,,mail.h-email.net,ns1.parkingcrew.net,,,,
Addition,youtubec.com,,,,ns1.googledomains.com,,,,
Addition,youtubed.com,,,,ns1.google.com,,,,
Addition,youtubee.com,,,,dns1.registrar-servers.com,,,,
Addition,youtubef.com,72.52.179.174,,,ns1.parklogic.com,,,,
Addition,youtubeg.com,,,,ns1.googledomains.com,,,,
Addition,youtubeh.com,172.98.192.37,,,ns1.rentondc.com,,,,
Addition,youtubei.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Addition,youtubej.com,185.53.178.6,,mail.h-email.net,ns1.parkingcrew.net,,,,
Addition,youtubek.com,34.196.13.28,,mail.happyisp.com,ns1.pql.net,,,,
Addition,youtubel.com,104.219.168.162,,,ns3.youtubel.com,,,,
Addition,youtubem.com,54.235.212.68,,mail.youtubem.com,ns1.pql.net,,,,
Addition,youtuben.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Addition,youtubeo.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Addition,youtubep.com,54.235.212.68,,mail.youtubep.com,ns1.pql.net,,,,
Addition,youtubeq.com,104.28.8.231,2606:4700:30::681c:8e7,,adrian.ns.cloudflare.com,,,,
Addition,youtuber.com,162.215.252.78,,,wispl.mercury.orderbox-dns.com,,,,
Addition,youtubes.com,,,,ns1.googledomains.com,,,,
Addition,youtubet.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Addition,youtubeu.com,208.91.196.152,,,sk.s7.ans1.ns147.klczy.com,,,,
Addition,youtubev.com,,,,ns1.googledomains.com,,,,
Addition,youtubew.com,,,,ns1.googledomains.com,,,,
Addition,youtubex.com,,,,ns1.googledomains.com,,,,
Addition,youtubey.com,103.224.182.251,,park-mx.above.com,ns2.above.com,,,,
Addition,youtubez.com,,,,,,,,
Bitsquatting,xoutube.com,199.59.242.151,,mx76.mb1p.com,ns1.bodis.com,,,,
Bitsquatting,qoutube.com,68.66.216.40,,qoutube.com,ns1.a2hosting.com,,,,
Bitsquatting,ioutube.com,34.196.13.28,,mail.happyisp.com,ns1.pql.net,,,,
Bitsquatting,9outube.com,174.129.25.170,,,ns1.he.net,,,,
Bitsquatting,ynutube.com,104.31.64.201,2606:4700:30::681f:40c9,parkmail.dynadot.com,dina.ns.cloudflare.com,,,,
Bitsquatting,ymutube.com,185.53.177.31,,,ns3.protectdelegation.eu,,,,
Bitsquatting,ykutube.com,103.224.182.207,,park-mx.above.com,ns1.above.com,,,,
Bitsquatting,ygutube.com,104.198.18.33,,,ns1.rewirethe.net,,,,
Bitsquatting,yottube.com,192.184.12.62,,park-mx.above.com,ns1.above.com,,,,
